movie_id,genre_id
118975,1
187381,13
149208,5
48632,1
503,22
166846,22
157750,13
16665,8
106726,15
34027,13
195574,20
150362,26
164512,8
175024,8
33266,8
48627,8
106880,1
55068,23
31783,28
163620,28
93187,1
673,25
91144,25
124685,1
162872,25
195099,8
57099,10
188525,1
168127,8
144676,8
7716,8
190170,11
165720,1
186323,1
139383,10
143201,8
123250,27
116880,1
118144,16
85582,8
181547,13
132669,25
4301,9
127050,7
152313,8
11277,8
74706,17
5746,14
181530,1
137397,8
132053,1
33143,8
200944,8
92874,1
201102,8
61386,0
29537,9
86637,8
151288,5
147679,8
13836,1
130801,25
36381,25
55779,22
50262,8
180022,28
39309,28
134777,25
144866,23
117280,1
99154,25
114194,8
115971,1
155288,13
126438,22
25861,1
46579,8
116294,22
94532,1
161272,1
21669,8
178103,8
86638,8
184253,13
14269,13
179631,8
18953,17
179149,1
71035,1
59353,1
132737,0
42444,8
181965,8
58266,26
32707,7
202328,8
165312,20
47851,1
168105,22
178338,8
128195,23
158076,8
57635,22
59212,25
195458,8
151325,8
16792,25
144329,8
106075,11
138766,27
183485,20
108884,22
59257,25
39749,13
190365,1
167718,8
46366,13
53462,1
146355,1
15858,20
182078,8
150433,20
188838,7
23565,1
124345,13
185021,13
138325,1
122647,8
186246,5
144778,8
23362,13
30897,25
176529,10
19198,1
24864,25
118202,8
76123,17
158333,1
200448,1
152174,8
94831,1
110532,8
146284,8
55618,8
197777,13
66863,1
54691,13
76657,8
109146,8
196010,1
115029,8
88533,20
152172,14
22158,1
73005,1
156146,10
65237,16
83824,28
154539,22
80554,20
145599,22
19486,10
160485,1
108778,1
17141,8
165240,26
185544,1
143096,8
99104,8
86485,5
115854,1
183571,8
174340,15
60534,8
131487,8
176234,8
86120,5
126753,8
130328,1
6519,1
41266,22
180290,8
138668,25
84250,26
176659,13
52251,8
105368,5
97188,5
193431,16
45231,11
77163,1
4442,12
3079,25
63824,1
122780,8
39736,11
142297,8
181612,26
54701,1
124262,1
151129,1
91934,25
144528,1
56333,26
187933,8
200575,8
132728,22
8762,13
164340,1
52458,11
162420,1
81970,8
160465,8
112311,8
173757,1
160558,16
174036,8
100332,7
25768,28
104034,8
149900,1
190017,1
15806,15
188565,8
126924,25
98222,8
123846,20
41565,22
35610,13
44406,1
166418,8
160471,8
66303,8
19375,1
193772,28
180753,22
86552,22
199222,8
20466,13
93520,20
75280,25
31041,25
25421,20
51356,20
166335,1
184268,25
103679,1
196557,25
122384,8
69521,1
68085,22
178111,26
26585,23
138496,1
125421,8
156791,15
123294,8
72789,8
99254,22
71379,22
99272,12
61705,22
53678,8
