movie_id,rating
110713,5.3
199221,6.0
45202,6.1
18747,5.9
151581,4.6
56109,5.3
97779,6.0
102463,7.3
192260,6.6
33284,6.0
170470,4.9
142362,5.2
104606,3.2
51332,8.3
41104,6.4
58752,5.7
165266,5.8
132696,2.5
152879,6.2
168970,7.0
143169,6.1
140230,7.8
134351,7.5
58064,7.0
101181,4.3
33659,5.2
110225,6.8
168958,6.1
194859,5.4
55630,6.3
168532,8.7
42862,7.4
76901,5.8
168595,6.3
129682,8.0
195341,7.6
77133,6.0
7904,5.4
123110,6.4
73875,5.9
42942,6.9
149682,5.1
10825,6.6
27723,6.8
167627,5.8
148456,7.1
112881,6.5
165106,5.5
95469,4.5
19598,6.8
187746,7.4
177425,3.2
48854,6.2
16618,6.0
61146,2.9
150503,6.4
23298,6.2
56330,8.4
185679,8.8
177583,6.1
201070,5.9
157823,5.3
5647,6.9
145682,4.4
39028,5.7
164504,6.2
42454,6.8
55408,7.0
119870,7.5
156674,6.1
48411,5.4
72144,6.0
188584,2.2
48018,5.2
95438,6.1
183811,6.2
136695,5.8
34652,5.1
53033,5.4
34196,7.4
32733,4.4
191428,7.4
46760,6.1
135432,7.7
88051,8.5
123083,5.0
125137,6.9
54341,6.2
34232,6.4
8035,5.0
102538,6.7
74725,6.2
200260,5.2
158731,4.2
15255,7.0
195184,5.8
72729,3.9
17385,7.7
127312,7.2
162762,6.0
44397,6.8
195317,6.1
147760,6.0
105957,7.2
164769,7.5
133330,6.5
196951,4.9
180607,7.7
95088,8.2
51354,7.9
165801,5.1
115969,6.3
180594,5.8
133099,6.5
174568,4.9
1210,7.5
200015,7.1
121665,5.9
89993,7.7
124338,5.4
66293,4.2
123377,6.6
135782,6.0
51101,8.4
65265,6.0
2163,7.0
138195,6.5
56834,6.0
17370,6.0
17999,7.1
64303,6.7
197620,7.0
91922,5.3
74936,7.3
31188,4.0
36867,6.2
150663,4.4
137670,6.7
670,7.8
45771,8.2
1871,6.3
27039,7.1
135603,6.8
143023,7.2
166615,4.7
58834,8.0
105392,5.1
55013,4.8
106465,4.4
137431,6.1
182715,4.4
14474,5.7
55903,5.2
167322,7.6
83978,7.6
169766,7.8
45565,5.2
8344,6.6
85568,6.3
100748,4.9
177830,6.8
32376,5.5
140547,5.7
189025,4.5
48657,6.6
2710,4.9
171210,5.3
187537,4.8
172803,5.2
38757,5.3
81186,5.4
143807,5.3
85667,7.3
187750,7.0
188332,6.2
175210,6.5
84782,7.1
74837,7.5
156743,7.2
70018,6.0
77134,4.5
77177,5.9
148007,7.2
