id,long,lat
X263,-120.867519143,37.7703267857
X264,-122.52240637,37.9603463704
X265,-123.481983649,39.1163428327
X266,-120.5945305,37.3661847857
X267,-121.267409273,38.690686
X268,-122.029756,36.9759374
X269,-122.156979455,38.0706719545
X270,-122.029993455,38.2648299091
X271,-121.402676556,38.4899446667
X272,-121.8185292,37.347803
X273,-121.823398867,37.2413362
X274,-121.977065944,36.9771624444
X275,-122.22373725,38.1043046667
X276,-121.981193952,38.2579335714
X277,-122.178081071,37.7284015714
X278,-121.81557212,39.72154036
X279,-121.731453526,37.9836468947
X280,-122.036887632,37.9746483684
X281,-122.0286395,37.9544017308
X282,-122.099005404,37.8458705957
X283,-122.283801056,37.8468262222
X284,-122.258969,37.829213625
X285,-122.304275818,37.8178303939
X286,-122.2850077,37.8056102
X287,-122.225175615,37.789474
X288,-122.157908143,37.6973710476
X289,-122.073556,37.6382548182
X290,-122.068416,37.585317
X291,-122.480200051,37.9844319231
X292,-121.418751357,38.5288275
X293,-121.435218937,38.5198155
X294,-122.302667073,38.2603258727
X295,-122.307282722,38.2943331111
X296,-122.239355526,38.1601677895
X297,-121.833342588,38.4584426471
X298,-120.855327545,37.5066979091
X299,-122.415998615,37.8021030769
X300,-121.8742428,37.3052226
X301,-122.697547636,38.4604112045
X302,-122.383927412,37.7339750588
X303,-121.981621513,37.4415166711
X304,-122.054650867,37.4172796
X305,-121.274419929,37.9485355714
X306,-122.004856583,37.3961258333
X307,-120.969037125,37.5930780625
X308,-122.083500143,37.3786799286
X309,-121.762660917,37.2347376667
X310,-121.3362988,38.6490617
X311,-122.485899556,37.7035453889
X312,-121.966630143,36.9748178214
X313,-121.403623111,36.848219
X314,-122.446965667,37.655691875
X315,-122.230594636,37.4893969091
X316,-122.171909061,38.093974197
X317,-121.775188667,38.5535346667
X318,-121.78450625,38.5499325
X319,-121.643262577,39.0217648618
X320,-122.177595281,39.750272
X321,-122.265187875,37.7954803125
X322,-122.253677632,37.8136333684
X323,-122.295348,37.7975507692
X324,-121.933643816,37.5615453947
X325,-121.962331533,37.5287536
X326,-121.972681067,37.5313372667
X327,-121.574397258,39.7903405323
X328,-121.910050048,37.689188
X329,-121.747760371,37.7096086286
X330,-121.765041185,37.6962147407
X331,-121.732419238,37.6962809048
X332,-122.140718429,38.0227777143
X333,-122.1314225,37.6815896
X334,-122.0228195,37.9698627222
X335,-121.81674113,38.000587913
X336,-121.125032643,38.9168879405
X337,-121.048570581,38.9493663784
X338,-122.240406286,37.5542211429
X339,-122.208472179,37.4798831071
X340,-121.278233357,38.7992354286
X341,-121.267484737,37.9322312632
X342,-121.389085407,38.0486661111
X343,-121.262801077,38.1348374615
X344,-121.491111284,36.832943568
X345,-122.075149389,37.4010455556
X346,-122.097521667,37.3974429167
X347,-122.1230514,37.4376682
X348,-121.256124538,38.6708604615
X349,-121.7838353,37.2296163667
X350,-121.491635444,38.5859298889
X351,-121.866034083,37.3368634167
X352,-121.909881818,37.2603198182
X353,-121.789591727,37.3278427273
X354,-121.297464647,38.6848233529
X355,-121.3513678,38.5429154
X356,-121.38488525,38.4173448333
X357,-121.365454636,38.4388583636
X358,-121.3783146,38.4649976
X359,-121.403608143,38.47059
X360,-121.317020563,38.4290795625
X361,-121.306990059,38.2687802353
X362,-121.469919432,38.4623574054
X363,-121.412386692,38.4166044615
X364,-121.432934944,38.4296657778
X365,-121.962972347,37.0408705612
X366,-121.938289561,38.394928803
X367,-122.735035411,38.2631323
X368,-120.900840521,37.3738899315
X369,-122.215349417,38.12836325
X370,-122.209782941,38.1046104706
X371,-122.215347478,38.0931486087
X372,-122.237312462,38.124844
X373,-120.969506643,37.6970172857
X374,-121.02367805,37.69701775
X375,-121.080970889,37.6959174444
X376,-121.0239619,37.67525845
X377,-121.629746,36.6696384706
X378,-121.8297344,36.6125532667
X379,-120.605305667,37.3561062222
X380,-121.946207,37.3170689091
X381,-121.862753385,39.7295029231
X382,-121.961333857,37.5357019286
X383,-121.8136735,39.7511633333
X384,-121.737298,38.5474765714
X385,-122.179594325,37.9040067922
X386,-122.247303842,37.7412657895
X387,-122.108182163,37.7056877143
X388,-122.190887576,37.7135272424
X389,-122.140321828,37.6856013793
X390,-121.895936125,37.2356520833
X391,-121.8676857,37.2695368
X392,-122.075779769,37.6249803846
X393,-122.082831571,37.5962055238
X394,-122.189928214,37.4818595714
X395,-122.225293192,37.4539947308
X396,-121.880554333,37.3546707333
X397,-122.223272261,38.0948392174
X398,-122.242603312,38.1490943125
