id,coor
627,[-122.3095229    37.97533462]
628,[-122.31004436   37.90717714]
629,[-122.42468157   37.768213  ]
636,[-121.75164956   37.97344272]
637,[-121.77508137   38.01118629]
638,[-121.89523918   38.02699782]
641,[-122.42002973   37.79475145]
642,[-122.40619483   37.79350433]
643,[-122.41987514   37.78546657]
644,[-122.41284938   37.784141  ]
645,[-122.42765071   37.802183  ]
646,[-122.44759591   37.77045845]
647,[-122.44604071   37.76520676]
648,[-122.431283     37.75964621]
649,[-122.43986593   37.74840771]
650,[-122.4024515    37.76144617]
651,[-122.4122873   37.7558248]
652,[-122.41251116   37.73227384]
653,[-122.43602309   37.71813855]
659,[-122.44506639   37.72967596]
660,[-122.48366906   37.76012912]
661,[-122.48094629   37.72743293]
662,[-122.50655256   37.76167011]
663,[-122.48141818   37.78285773]
664,[-122.49276457   37.77648429]
665,[-122.42081814   37.71050514]
666,[-122.50285357   37.78320407]
669,[-121.24505006   37.95427072]
675,[-122.415295     37.70442836]
676,[-122.46668247   37.69825588]
677,[-122.48529737   37.67508353]
678,[-122.43387864   37.61774368]
679,[-122.36461978   37.58138706]
680,[-122.31991478   37.56537874]
681,[-122.30562105   37.52795495]
682,[-122.30337708   37.56585246]
683,[-122.26184825   37.56155392]
684,[-122.28288857   37.53170914]
685,[-122.2768195    37.48870333]
687,[-121.9218815   37.3407632]
688,[-121.87421954   37.33871446]
690,[-121.43562124   38.57918818]
694,[-121.4725921   38.5742937]
695,[-121.92207329   37.319244  ]
696,[-121.90948171   37.30015847]
697,[-121.92624774   37.27340178]
698,[-121.88671174   37.27747495]
699,[-121.85435973   37.27784507]
700,[-121.81640648   37.29342476]
701,[-121.78174463   37.3123215 ]
702,[-121.83388933   37.3360908 ]
703,[-121.85397546   37.35836015]
705,[-121.492711    38.6318307]
707,[-121.53314336   38.608506  ]
715,[-121.83422564   37.3551205 ]
716,[-121.88783765   37.3783417 ]
717,[-121.86619173   37.3934788 ]
718,[-121.88069      37.40977643]
719,[-121.90258667   37.451399  ]
720,[-121.98734328   37.34824122]
721,[-121.98438704   37.33405561]
722,[-121.97211344   37.31278994]
723,[-121.95584981   37.28444194]
724,[-121.93472007   37.24019385]
725,[-122.02215996   37.27463796]
729,[-121.37041225   38.557835  ]
738,[-122.03675212   37.34383071]
739,[-121.99963431   37.35485592]
740,[-122.05087992   37.378711  ]
741,[-122.08340124   37.40553   ]
742,[-122.12770725   37.41676733]
743,[-122.15582667   37.44332758]
744,[-122.11332815   37.30392812]
745,[-121.85637947   37.21337206]
746,[-121.82524062   37.26403887]
747,[-121.59127742   37.02519895]
748,[-122.04094482   36.96995159]
749,[-122.22434177   38.08273119]
750,[-122.25854905   38.12771567]
751,[-122.18108846   38.07990565]
752,[-121.92398407   38.34550122]
753,[-121.96613613   38.34200481]
754,[-121.97513089   38.39538107]
755,[-122.45279787   38.28689053]
756,[-122.61485187   38.2385228 ]
757,[-122.69127685   38.4437207 ]
758,[-122.71248628   38.45816989]
761,[-122.32055918   38.32284455]
762,[-122.26258819   38.160271  ]
764,[-122.74810289   38.47985407]
765,[-122.75813145   38.44077523]
767,[-122.81162375   38.5548665 ]
768,[-122.80882572   38.54557067]
770,[-123.37006861   39.25133554]
771,[-123.2891354    39.11204545]
776,[-121.92815011   36.60392022]
777,[-122.97333606   38.61405286]
783,[-121.66044815   36.70365038]
784,[-121.615994     36.67507947]
786,[-121.90803832   36.60472296]
787,[-121.83153958   36.60462092]
788,[-121.60349209   36.66222627]
791,[-122.29192777   38.31702146]
793,[-121.26501017   37.46031707]
798,[-122.3749688    38.29195941]
800,[-122.22503923   38.43725964]
804,[-121.53287047   38.57636933]
805,[-122.14277467   37.72733833]
806,[-122.17975679   38.76088286]
808,[-122.28026054   37.82362231]
809,[-122.24890423   37.817374  ]
810,[-122.21555409   37.79600764]
811,[-122.19636341   37.75824959]
812,[-122.26950371   37.87532829]
813,[-122.260054     37.86364956]
814,[-122.11153058   37.69288595]
815,[-122.10209329   37.62953957]
816,[-121.85474609   37.6846737 ]
817,[-122.2730637    37.52642752]
818,[-122.21372232   37.48386624]
820,[-121.88991088   37.284316  ]
821,[-121.81103333   37.35492242]
822,[-121.881148     37.43209227]
823,[-121.961754   37.338055]
824,[-121.97021235   37.26403153]
826,[-121.72928338   37.99842881]
827,[-121.710345     37.90781752]
828,[-121.76812286   37.98748936]
829,[-122.03831993   37.31143133]
830,[-122.10644508   37.40199554]
831,[-121.86899665   37.21183906]
